mwot|http://www.merriam-webster.com/cgi-bin/thesaurus?book=Thesaurus&va=~{0}
my|https://my.wikipedia.org/wiki/~{0}
myv|https://myv.wikipedia.org/wiki/~{0}
mzn|https://mzn.wikipedia.org/wiki/~{0}
n|https://en.wikinews.org/wiki/~{0}
na|https://na.wikipedia.org/wiki/~{0}
nah|https://nah.wikipedia.org/wiki/~{0}
nan|https://zh-min-nan.wikipedia.org/wiki/~{0}
nap|https://nap.wikipedia.org/wiki/~{0}
nara|http://research.archives.gov/description/~{0}
nb|https://no.wikipedia.org/wiki/~{0}
nds|https://nds.wikipedia.org/wiki/~{0}
nds-nl|https://nds-nl.wikipedia.org/wiki/~{0}
ne|https://ne.wikipedia.org/wiki/~{0}
new|https://new.wikipedia.org/wiki/~{0}
ng|https://ng.wikipedia.org/wiki/~{0}
nkcells|http://www.nkcells.info/index.php?title=~{0}
nl|https://nl.wikipedia.org/wiki/~{0}
nn|https://nn.wikipedia.org/wiki/~{0}
no|https://no.wikipedia.org/wiki/~{0}
nosmoke|http://no-smok.net/nsmk/~{0}
nost|https://nostalgia.wikipedia.org/wiki/~{0}
nostalgia|https://nostalgia.wikipedia.org/wiki/~{0}
nov|https://nov.wikipedia.org/wiki/~{0}
nrm|https://nrm.wikipedia.org/wiki/~{0}
nso|https://nso.wikipedia.org/wiki/~{0}
nv|https://nv.wikipedia.org/wiki/~{0}
ny|https://ny.wikipedia.org/wiki/~{0}
oc|https://oc.wikipedia.org/wiki/~{0}
oeis|https://oeis.org/~{0}
oldwikisource|https://wikisource.org/wiki/~{0}
olpc|http://wiki.laptop.org/go/~{0}
om|https://om.wikipedia.org/wiki/~{0}
onelook|http://www.onelook.com/?ls=b&w=~{0}
openfacts|http://openfacts.berlios.de/index-en.phtml?title=~{0}
openlibrary|http://openlibrary.org/~{0}
openstreetmap|https://wiki.openstreetmap.org/wiki/~{0}
openwetware|http://openwetware.org/wiki/~{0}
openwiki|http://openwiki.com/?~{0}
opera7wiki|http://operawiki.info/~{0}
or|https://or.wikipedia.org/wiki/~{0}
organicdesign|http://www.organicdesign.co.nz/~{0}
orthodoxwiki|http://orthodoxwiki.org/~{0}
os|https://os.wikipedia.org/wiki/~{0}
osmwiki|https://wiki.openstreetmap.org/wiki/~{0}
otrs|https://ticket.wikimedia.org/otrs/index.pl?Action=AgentTicketZoom&TicketID=~{0}
otrswiki|https://otrs-wiki.wikimedia.org/wiki/~{0}
ourmedia|https://www.socialtext.net/ourmedia/index.cgi?~{0}
outreach|https://outreach.wikimedia.org/wiki/~{0}
outreachwiki|https://outreach.wikimedia.org/wiki/~{0}
owasp|https://www.owasp.org/index.php/~{0}
pa|https://pa.wikipedia.org/wiki/~{0}
pag|https://pag.wikipedia.org/wiki/~{0}
